2026-04-10 22:47:38 | INFO     | genui.api | sid=40193552-757c-42f4-a44b-c810e7899a8b | chat request received len=31
2026-04-10 22:47:38 | INFO     | werkzeug | sid=40193552-757c-42f4-a44b-c810e7899a8b | 127.0.0.1 - - [10/Apr/2026 22:47:38] "POST /chat/stream HTTP/1.1" 200 -
2026-04-10 22:47:38 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | stream_reply start session_id=40193552-757c-42f4-a44b-c810e7899a8b key_source=GEMINI_API_KEY key_present=True user_text=帮我实现一个快速排序算法的interactive visual
2026-04-10 22:47:38 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | provider mode active model=gemini-3.1-pro-preview
2026-04-10 22:47:42 | INFO     | httpx | sid=40193552-757c-42f4-a44b-c810e7899a8b | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.1-pro-preview:generateContent "HTTP/1.1 200 OK"
2026-04-10 22:47:42 | WARNING  | genui.gemini | sid=40193552-757c-42f4-a44b-c810e7899a8b | candidate parts_count=1
2026-04-10 22:47:42 | WARNING  | genui.gemini | sid=40193552-757c-42f4-a44b-c810e7899a8b | function_call keys=args,id,name,partial_args,will_continue
2026-04-10 22:47:42 | WARNING  | genui.gemini | sid=40193552-757c-42f4-a44b-c810e7899a8b | parsed tool_call name=visualize_read_me has_signature=False
2026-04-10 22:47:42 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | provider response finish_reason=stop has_tool_calls=True content_len=0
2026-04-10 22:47:42 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | tool call name=visualize_read_me id=33367ab1-1a1e-4d22-88d8-da97ebdb4f68
2026-04-10 22:47:42 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | tool execution name=visualize_read_me events=0 content_len=3000
2026-04-10 22:48:41 | INFO     | httpx | sid=40193552-757c-42f4-a44b-c810e7899a8b | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3.1-pro-preview:generateContent "HTTP/1.1 200 OK"
2026-04-10 22:48:41 | WARNING  | genui.gemini | sid=40193552-757c-42f4-a44b-c810e7899a8b | candidate parts_count=2
2026-04-10 22:48:41 | WARNING  | genui.gemini | sid=40193552-757c-42f4-a44b-c810e7899a8b | function_call keys=args,id,name,partial_args,will_continue
2026-04-10 22:48:41 | WARNING  | genui.gemini | sid=40193552-757c-42f4-a44b-c810e7899a8b | parsed tool_call name=show_widget has_signature=False
2026-04-10 22:48:41 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | provider response finish_reason=stop has_tool_calls=True content_len=347
2026-04-10 22:48:41 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | tool call name=show_widget id=c9618abc-c35b-4778-8c38-53b5e155794d
2026-04-10 22:48:41 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | tool execution name=show_widget events=11 content_len=39
2026-04-10 22:51:15 | WARNING  | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | provider response finish_reason=error has_tool_calls=False content_len=47
2026-04-10 22:51:15 | ERROR    | genui.agent | sid=40193552-757c-42f4-a44b-c810e7899a8b | provider error -> Server disconnected without sending a response.
